2022-09-17 09:48:47.383 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:48:47.403 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:48:47.405 [main] INFO  com.snakeladder.App - 1
2022-09-17 09:48:51.187 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:48:51.201 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:48:51.204 [main] INFO  com.snakeladder.App - 1
2022-09-17 09:48:54.483 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:48:54.483 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:48:54.493 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:48:57.983 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:48:57.983 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:48:57.988 [main] INFO  com.snakeladder.App - 3
2022-09-17 09:49:00.982 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:49:00.982 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:49:00.991 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:49:04.532 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:49:04.532 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:49:04.539 [main] INFO  com.snakeladder.App - 1
2022-09-17 09:49:07.623 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:49:07.626 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:49:07.628 [main] INFO  com.snakeladder.App - 4
2022-09-17 09:49:10.631 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:49:10.632 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:49:10.637 [main] INFO  com.snakeladder.App - 4
2022-09-17 09:49:13.832 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:49:13.832 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:49:13.845 [main] INFO  com.snakeladder.App - 3
2022-09-17 09:49:16.620 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:49:16.623 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:49:16.625 [main] INFO  com.snakeladder.App - 5
2022-09-17 09:49:19.582 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:49:19.582 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:49:19.589 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:49:22.581 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:49:22.597 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:49:22.598 [main] INFO  com.snakeladder.App - 4
2022-09-17 09:49:34.069 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:49:34.073 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:49:34.074 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:49:36.842 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:49:36.850 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:49:36.852 [main] INFO  com.snakeladder.App - 1
2022-09-17 09:49:39.231 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:49:39.231 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:49:39.240 [main] INFO  com.snakeladder.App - 4
2022-09-17 09:49:46.330 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:49:46.348 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:49:46.350 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:49:49.380 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:49:49.380 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:49:49.385 [main] INFO  com.snakeladder.App - 3
2022-09-17 09:49:52.924 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:49:52.928 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:49:52.929 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:50:09.664 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:50:09.669 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:50:09.671 [main] INFO  com.snakeladder.App - 1
2022-09-17 09:50:16.779 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:50:16.796 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:50:16.797 [main] INFO  com.snakeladder.App - 4
2022-09-17 09:50:18.864 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:50:18.867 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:50:18.868 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:50:20.409 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:50:20.412 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:50:20.413 [main] INFO  com.snakeladder.App - 3
2022-09-17 09:50:21.855 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:50:21.858 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:50:21.859 [main] INFO  com.snakeladder.App - 5
2022-09-17 09:50:23.323 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:50:23.329 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:50:23.332 [main] INFO  com.snakeladder.App - 5
2022-09-17 09:50:25.078 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:50:25.078 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:50:25.085 [main] INFO  com.snakeladder.App - 4
2022-09-17 09:50:26.728 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:50:26.728 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:50:26.743 [main] INFO  com.snakeladder.App - 1
2022-09-17 09:50:28.650 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:50:28.654 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:50:28.655 [main] INFO  com.snakeladder.App - 1
2022-09-17 09:50:30.401 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:50:30.404 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:50:30.405 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:50:31.878 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:50:31.878 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:50:31.883 [main] INFO  com.snakeladder.App - 1
2022-09-17 09:50:33.602 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:50:33.608 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:50:33.609 [main] INFO  com.snakeladder.App - 3
2022-09-17 09:50:35.221 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:50:35.224 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:50:35.225 [main] INFO  com.snakeladder.App - 5
2022-09-17 09:50:37.424 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:50:37.428 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:50:37.430 [main] INFO  com.snakeladder.App - 4
2022-09-17 09:50:39.152 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:50:39.156 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:50:39.158 [main] INFO  com.snakeladder.App - 1
2022-09-17 09:50:41.128 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:50:41.128 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:50:41.134 [main] INFO  com.snakeladder.App - 3
2022-09-17 09:50:43.951 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:50:43.955 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:50:43.956 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:50:46.342 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:50:46.346 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:50:46.348 [main] INFO  com.snakeladder.App - 4
2022-09-17 09:50:48.246 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:50:48.252 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:50:48.255 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:50:50.022 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:50:50.025 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:50:50.027 [main] INFO  com.snakeladder.App - 4
2022-09-17 09:51:06.506 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:06.510 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:06.512 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:51:10.983 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:10.986 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:10.987 [main] INFO  com.snakeladder.App - 1
2022-09-17 09:51:12.972 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:12.978 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:12.980 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:51:14.501 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:14.504 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:14.505 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:51:15.901 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:15.904 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:15.905 [main] INFO  com.snakeladder.App - 4
2022-09-17 09:51:17.872 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:17.875 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:17.876 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:51:19.589 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:19.592 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:19.593 [main] INFO  com.snakeladder.App - 5
2022-09-17 09:51:21.178 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:21.181 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:21.183 [main] INFO  com.snakeladder.App - 5
2022-09-17 09:51:22.996 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:23.000 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:23.001 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:51:25.132 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:25.135 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:25.137 [main] INFO  com.snakeladder.App - 1
2022-09-17 09:51:26.655 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:26.659 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:26.660 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:51:28.063 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:28.067 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:28.069 [main] INFO  com.snakeladder.App - 1
2022-09-17 09:51:29.642 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:29.645 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:29.647 [main] INFO  com.snakeladder.App - 1
2022-09-17 09:51:31.045 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:31.048 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:31.050 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:51:32.432 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:32.435 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:32.436 [main] INFO  com.snakeladder.App - 4
2022-09-17 09:51:35.678 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:35.681 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:35.683 [main] INFO  com.snakeladder.App - 4
2022-09-17 09:51:39.599 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:39.603 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:39.604 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:51:41.597 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:41.600 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:41.602 [main] INFO  com.snakeladder.App - 4
2022-09-17 09:51:44.095 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:44.098 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:44.100 [main] INFO  com.snakeladder.App - 3
2022-09-17 09:51:46.005 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:46.009 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:46.010 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:51:48.040 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:48.044 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:48.045 [main] INFO  com.snakeladder.App - 5
2022-09-17 09:51:50.460 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:50.464 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:50.465 [main] INFO  com.snakeladder.App - 4
2022-09-17 09:51:54.074 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:54.094 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:54.095 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:51:55.562 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:55.565 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:55.567 [main] INFO  com.snakeladder.App - 1
2022-09-17 09:51:57.210 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:57.213 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:57.215 [main] INFO  com.snakeladder.App - 1
2022-09-17 09:51:58.799 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:51:58.802 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:51:58.804 [main] INFO  com.snakeladder.App - 3
2022-09-17 09:52:00.324 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:52:00.324 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:52:00.340 [main] INFO  com.snakeladder.App - 3
2022-09-17 09:52:01.827 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:52:01.839 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:52:01.844 [main] INFO  com.snakeladder.App - 5
2022-09-17 09:52:03.374 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:52:03.394 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:52:03.395 [main] INFO  com.snakeladder.App - 4
2022-09-17 09:52:05.174 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:52:05.174 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:52:05.182 [main] INFO  com.snakeladder.App - 4
2022-09-17 09:53:09.349 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:53:09.353 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:53:09.354 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:53:11.911 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:53:11.914 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:53:11.916 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:53:13.504 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:53:13.510 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:53:13.511 [main] INFO  com.snakeladder.App - 4
2022-09-17 09:53:15.279 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:53:15.282 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:53:15.283 [main] INFO  com.snakeladder.App - 1
2022-09-17 09:53:17.006 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:53:17.009 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:53:17.011 [main] INFO  com.snakeladder.App - 3
2022-09-17 09:53:19.130 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:53:19.134 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:53:19.135 [main] INFO  com.snakeladder.App - 3
2022-09-17 09:53:20.587 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:53:20.587 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:53:20.599 [main] INFO  com.snakeladder.App - 3
2022-09-17 09:53:22.276 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:53:22.280 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:53:22.281 [main] INFO  com.snakeladder.App - 1
2022-09-17 09:53:23.715 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:53:23.720 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:53:23.722 [main] INFO  com.snakeladder.App - 4
2022-09-17 09:53:25.014 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:53:25.017 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:53:25.020 [main] INFO  com.snakeladder.App - 4
2022-09-17 09:53:26.553 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:53:26.556 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:53:26.558 [main] INFO  com.snakeladder.App - 5
2022-09-17 09:53:28.060 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:53:28.063 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:53:28.065 [main] INFO  com.snakeladder.App - 5
2022-09-17 09:53:29.657 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:53:29.660 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:53:29.661 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:53:31.032 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:53:31.036 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:53:31.038 [main] INFO  com.snakeladder.App - 5
2022-09-17 09:53:32.573 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:53:32.576 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:53:32.578 [main] INFO  com.snakeladder.App - 2
2022-09-17 09:53:33.949 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:53:33.955 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:53:33.957 [main] INFO  com.snakeladder.App - 3
2022-09-17 09:53:35.470 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:53:35.473 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:53:35.475 [main] INFO  com.snakeladder.App - 3
